user_id,activity_date,game_activity_name,total_seconds,language,has_older_device_model,age
5Xx7q8xw22flTcYbZ1XZVQ==,2022-09-25,game 3: Main campaign,266,uk,FALSE,26
5Xx7q8xw22flTcYbZ1XZVQ==,2022-09-25,game 3: Special events,43,uk,FALSE,26
C/7YatYfa4qFbB1omZ7Jjw==,2022-09-05,game 2: Battle pass challenges,51,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-09-28,game 2: Battle pass challenges,846,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-10-13,game 2: Battle pass challenges,656,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-10-26,game 2: Battle pass challenges,559,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-11-07,game 2: Battle pass challenges,1248,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-11-23,game 2: Battle pass challenges,802,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-11-28,game 2: Battle pass challenges,129,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-12-03,game 2: Battle pass challenges,1881,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-12-16,game 2: Battle pass challenges,197,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-12-25,game 2: Battle pass challenges,17332,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-08-08,game 2: Campaign,17,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-08-14,game 2: Campaign,3,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-09-12,game 2: Campaign,20,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-09-29,game 2: Campaign,845,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-10-25,game 2: Campaign,306,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-10-26,game 2: Campaign,4,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-11-25,game 2: Campaign,157,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-11-26,game 2: Campaign,557,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-12-04,game 2: Campaign,18,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-12-30,game 2: Campaign,5,uk,FALSE,52
C/7YatYfa4qFbB1omZ7Jjw==,2022-07-26,game 2: Campaign,109,uk,FALSE,52
